date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
2015-01-01,Quarter1,sewing,Thursday,Team8,0.8,26.16,1108.0,7080.0,98.0,0.0,0.0,0.0,59.0,0.940725424
2015-01-01,Quarter1,finishing,Thursday,Team1,0.75,3.94,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.8865
2015-01-01,Quarter1,sewing,Thursday,Team11,0.8,11.41,968.0,3660.0,50.0,0.0,0.0,0.0,30.5,0.800570492
2015-01-01,Quarter1,sewing,Thursday,Team12,0.8,11.41,968.0,3660.0,50.0,0.0,0.0,0.0,30.5,0.800570492
2015-01-01,Quarter1,sewing,Thursday,Team6,0.8,25.9,1170.0,1920.0,50.0,0.0,0.0,0.0,56.0,0.800381944
2015-01-01,Quarter1,sewing,Thursday,Team7,0.8,25.9,984.0,6720.0,38.0,0.0,0.0,0.0,56.0,0.800125
2015-01-01,Quarter1,finishing,Thursday,Team2,0.75,3.94,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.755166667
2015-01-01,Quarter1,sewing,Thursday,Team3,0.75,28.08,795.0,6900.0,45.0,0.0,0.0,0.0,57.5,0.753683478
2015-01-01,Quarter1,sewing,Thursday,Team2,0.75,19.87,733.0,6000.0,34.0,0.0,0.0,0.0,55.0,0.753097531
2015-01-01,Quarter1,sewing,Thursday,Team1,0.75,28.08,681.0,6900.0,45.0,0.0,0.0,0.0,57.5,0.750427826
2015-01-01,Quarter1,sewing,Thursday,Team9,0.7,28.08,872.0,6900.0,44.0,0.0,0.0,0.0,57.5,0.721126957
2015-01-01,Quarter1,sewing,Thursday,Team10,0.75,19.31,578.0,6480.0,45.0,0.0,0.0,0.0,54.0,0.712205247
2015-01-01,Quarter1,sewing,Thursday,Team5,0.8,11.41,668.0,3660.0,50.0,0.0,0.0,0.0,30.5,0.707045902
2015-01-01,Quarter1,finishing,Thursday,Team10,0.65,3.94,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.705916667
2015-01-01,Quarter1,finishing,Thursday,Team8,0.75,2.9,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.676666667
2015-01-01,Quarter1,finishing,Thursday,Team4,0.75,3.94,987.6,2160.0,0.0,0.0,0.0,0.0,18.0,0.593055556
2015-01-01,Quarter1,finishing,Thursday,Team7,0.8,2.9,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.540729167
2015-01-01,Quarter1,sewing,Thursday,Team4,0.65,23.69,861.0,7200.0,0.0,0.0,0.0,0.0,60.0,0.52118
2015-01-01,Quarter1,finishing,Thursday,Team11,0.7,4.15,829.2,1440.0,0.0,0.0,0.0,0.0,12.0,0.436326389
2015-01-03,Quarter1,finishing,Saturday,Team4,0.8,4.15,1116.0,6600.0,0.0,0.0,0.0,0.0,20.0,0.988024691
2015-01-03,Quarter1,finishing,Saturday,Team11,0.75,2.9,1148.6,5640.0,0.0,0.0,0.0,0.0,17.0,0.987880435
2015-01-03,Quarter1,finishing,Saturday,Team9,0.8,4.15,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.956270833
2015-01-03,Quarter1,finishing,Saturday,Team3,0.75,3.94,962.2,1560.0,0.0,0.0,0.0,0.0,8.0,0.945277778
2015-01-03,Quarter1,finishing,Saturday,Team1,0.8,3.94,994.4,960.0,0.0,0.0,0.0,0.0,8.0,0.902916667
2015-01-03,Quarter1,sewing,Saturday,Team1,0.8,28.08,772.0,6300.0,50.0,0.0,0.0,0.0,56.5,0.800725314
